x,y,z,energy
19.926485,20.000000,-6647.000026,1380.000319
19.925420,20.000000,-6646.000027,1380.000319
19.924347,20.000000,-6645.000027,1380.000319
19.923266,20.000000,-6644.000028,1380.000319
19.922177,20.000000,-6643.000028,1380.000319
19.921081,20.000000,-6642.000029,1380.000319
19.919978,20.000000,-6641.000030,1380.000319
19.918866,20.000000,-6640.000030,1380.000319
19.917747,20.000000,-6639.000031,1380.000319
19.916620,20.000000,-6638.000031,1380.000319
19.915486,20.000000,-6637.000032,1380.000319
19.914344,20.000000,-6636.000033,1380.000319
19.913194,20.000000,-6635.000033,1380.000319
19.912037,20.000000,-6634.000034,1380.000319
19.910872,20.000000,-6633.000035,1380.000319
19.909699,20.000000,-6632.000035,1380.000319
19.908518,20.000000,-6631.000036,1380.000319
19.907330,20.000000,-6630.000037,1380.000319
19.906135,20.000000,-6629.000038,1380.000319
19.904931,20.000000,-6628.000038,1380.000319
19.903720,20.000000,-6627.000039,1380.000319
19.902501,20.000000,-6626.000040,1380.000319
19.901275,20.000000,-6625.000040,1380.000319
19.900041,20.000000,-6624.000041,1380.000319
19.898799,20.000000,-6623.000042,1380.000319
19.897550,20.000000,-6622.000043,1380.000319
19.896293,20.000000,-6621.000044,1380.000319
19.895028,20.000000,-6620.000044,1380.000319
19.893756,20.000000,-6619.000045,1380.000319
19.892476,20.000000,-6618.000046,1380.000319
19.891188,20.000000,-6617.000047,1380.000319
19.889893,20.000000,-6616.000048,1380.000319
19.888590,20.000000,-6615.000049,1380.000319
19.887279,20.000000,-6614.000049,1380.000319
19.885960,20.000000,-6613.000050,1380.000319
19.884634,20.000000,-6612.000051,1380.000319
19.883301,20.000000,-6611.000052,1380.000319
19.881959,20.000000,-6610.000053,1380.000319
19.880610,20.000000,-6609.000054,1380.000319
19.879254,20.000000,-6608.000055,1380.000319
19.877889,20.000000,-6607.000056,1380.000319
19.876517,20.000000,-6606.000057,1380.000319
19.875138,20.000000,-6605.000058,1380.000319
19.873750,20.000000,-6604.000059,1380.000319
19.872355,20.000000,-6603.000060,1380.000319
19.870952,20.000000,-6602.000061,1380.000319
19.869542,20.000000,-6601.000062,1380.000319
19.868124,20.000000,-6600.000063,1380.000319
19.866698,20.000000,-6599.000064,1380.000319
19.865265,20.000000,-6598.000065,1380.000319
19.863824,20.000000,-6597.000066,1380.000319
19.862375,20.000000,-6596.000067,1380.000319
19.860919,20.000000,-6595.000068,1380.000319
19.859455,20.000000,-6594.000069,1380.000319
19.857983,20.000000,-6593.000070,1380.000319
19.856504,20.000000,-6592.000071,1380.000319
19.855017,20.000000,-6591.000072,1380.000319
19.853522,20.000000,-6590.000073,1380.000319
19.852020,20.000000,-6589.000074,1380.000319
19.850510,20.000000,-6588.000075,1380.000319
19.848992,20.000000,-6587.000077,1380.000319
19.847467,20.000000,-6586.000078,1380.000319
19.845934,20.000000,-6585.000079,1380.000319
19.844393,20.000000,-6584.000080,1380.000319
19.842845,20.000000,-6583.000081,1380.000319
19.841289,20.000000,-6582.000083,1380.000319
19.839725,20.000000,-6581.000084,1380.000319
19.838154,20.000000,-6580.000085,1380.000319
19.836575,20.000000,-6579.000086,1380.000319
19.834988,20.000000,-6578.000087,1380.000319
19.833394,20.000000,-6577.000089,1380.000319
19.831792,20.000000,-6576.000090,1380.000319
19.830182,20.000000,-6575.000091,1380.000319
19.828565,20.000000,-6574.000093,1380.000319
19.826940,20.000000,-6573.000094,1380.000319
19.825308,20.000000,-6572.000095,1380.000319
19.823667,20.000000,-6571.000097,1380.000319
19.822019,20.000000,-6570.000098,1380.000319
19.820364,20.000000,-6569.000099,1380.000319
19.818700,20.000000,-6568.000101,1380.000319
19.817029,20.000000,-6567.000102,1380.000319
19.815351,20.000000,-6566.000104,1380.000319
19.813664,20.000000,-6565.000105,1380.000319
19.811970,20.000000,-6564.000106,1380.000319
19.810269,20.000000,-6563.000108,1380.000319
19.808560,20.000000,-6562.000109,1380.000319
19.806843,20.000000,-6561.000111,1380.000319
19.805118,20.000000,-6560.000112,1380.000319
19.803386,20.000000,-6559.000114,1380.000319
19.801646,20.000000,-6558.000115,1380.000319
19.799898,20.000000,-6557.000117,1380.000319
19.798143,20.000000,-6556.000118,1380.000319
19.796380,20.000000,-6555.000120,1380.000319
19.794609,20.000000,-6554.000121,1380.000319
19.792831,20.000000,-6553.000123,1380.000319
19.791045,20.000000,-6552.000125,1380.000319
19.789251,20.000000,-6551.000126,1380.000319
19.787450,20.000000,-6550.000128,1380.000319
19.785641,20.000000,-6549.000130,1380.000319
19.783825,20.000000,-6548.000131,1380.000319
19.782000,20.000000,-6547.000133,1380.000319
19.780168,20.000000,-6546.000135,1380.000319
19.778329,20.000000,-6545.000136,1380.000319
19.776482,20.000000,-6544.000138,1380.000319
19.774627,20.000000,-6543.000140,1380.000319
19.772764,20.000000,-6542.000141,1380.000319
19.770894,20.000000,-6541.000143,1380.000319
19.769016,20.000000,-6540.000145,1380.000319
19.767130,20.000000,-6539.000147,1380.000319
19.765237,20.000000,-6538.000148,1380.000319
19.763336,20.000000,-6537.000150,1380.000319
19.761428,20.000000,-6536.000152,1380.000319
19.759511,20.000000,-6535.000154,1380.000319
19.757587,20.000000,-6534.000156,1380.000319
19.755656,20.000000,-6533.000158,1380.000319
19.753717,20.000000,-6532.000160,1380.000319
19.751770,20.000000,-6531.000161,1380.000319
19.749815,20.000000,-6530.000163,1380.000319
19.747853,20.000000,-6529.000165,1380.000319
19.745883,20.000000,-6528.000167,1380.000319
19.743906,20.000000,-6527.000169,1380.000319
19.741920,20.000000,-6526.000171,1380.000319
19.739927,20.000000,-6525.000173,1380.000319
19.737927,20.000000,-6524.000175,1380.000319
19.735919,20.000000,-6523.000177,1380.000319
19.733903,20.000000,-6522.000179,1380.000319
19.731879,20.000000,-6521.000181,1380.000319
19.729848,20.000000,-6520.000183,1380.000319
19.727809,20.000000,-6519.000185,1380.000319
19.725763,20.000000,-6518.000187,1380.000319
19.723708,20.000000,-6517.000190,1380.000319
19.721646,20.000000,-6516.000192,1380.000319
19.719577,20.000000,-6515.000194,1380.000319
19.717500,20.000000,-6514.000196,1380.000319
19.715415,20.000000,-6513.000198,1380.000319
19.713322,20.000000,-6512.000200,1380.000319
19.711222,20.000000,-6511.000203,1380.000319
19.709114,20.000000,-6510.000205,1380.000319
19.706999,20.000000,-6509.000207,1380.000319
19.704875,20.000000,-6508.000209,1380.000319
19.702745,20.000000,-6507.000212,1380.000319
19.700606,20.000000,-6506.000214,1380.000319
19.698460,20.000000,-6505.000216,1380.000319
19.696306,20.000000,-6504.000218,1380.000319
19.694145,20.000000,-6503.000221,1380.000319
19.691975,20.000000,-6502.000223,1380.000319
19.689798,20.000000,-6501.000225,1380.000319
19.687614,20.000000,-6500.000228,1380.000319
19.685422,20.000000,-6499.000230,1380.000319
19.683222,20.000000,-6498.000233,1380.000319
19.681014,20.000000,-6497.000235,1380.000319
19.678799,20.000000,-6496.000238,1380.000319
19.676576,20.000000,-6495.000240,1380.000319
19.674346,20.000000,-6494.000243,1380.000319
19.672108,20.000000,-6493.000245,1380.000319
19.669862,20.000000,-6492.000248,1380.000319
19.667608,20.000000,-6491.000250,1380.000319
19.665347,20.000000,-6490.000253,1380.000319
19.663078,20.000000,-6489.000255,1380.000319
19.660802,20.000000,-6488.000258,1380.000319
19.658518,20.000000,-6487.000260,1380.000319
19.656226,20.000000,-6486.000263,1380.000319
19.653926,20.000000,-6485.000266,1380.000319
19.651619,20.000000,-6484.000268,1380.000319
19.649304,20.000000,-6483.000271,1380.000319
19.646982,20.000000,-6482.000274,1380.000319
19.644652,20.000000,-6481.000276,1380.000319
19.642314,20.000000,-6480.000279,1380.000319
19.639968,20.000000,-6479.000282,1380.000319
19.637615,20.000000,-6478.000285,1380.000319
19.635255,20.000000,-6477.000288,1380.000319
19.632886,20.000000,-6476.000290,1380.000319
19.630510,20.000000,-6475.000293,1380.000319
19.628126,20.000000,-6474.000296,1380.000319
19.625735,20.000000,-6473.000299,1380.000319
19.623335,20.000000,-6472.000302,1380.000319
19.620929,20.000000,-6471.000305,1380.000319
19.618514,20.000000,-6470.000308,1380.000319
19.616092,20.000000,-6469.000310,1380.000319
19.613662,20.000000,-6468.000313,1380.000319
19.611225,20.000000,-6467.000316,1380.000319
19.608780,20.000000,-6466.000319,1380.000319
19.606327,20.000000,-6465.000322,1380.000319
19.603866,20.000000,-6464.000325,1380.000319
19.601398,20.000000,-6463.000328,1380.000319
19.598923,20.000000,-6462.000332,1380.000319
19.596439,20.000000,-6461.000335,1380.000319
19.593948,20.000000,-6460.000338,1380.000319
19.591449,20.000000,-6459.000341,1380.000319
19.588943,20.000000,-6458.000344,1380.000319
19.586429,20.000000,-6457.000347,1380.000319
19.583907,20.000000,-6456.000350,1380.000319
19.581377,20.000000,-6455.000354,1380.000319
19.578840,20.000000,-6454.000357,1380.000319
19.576296,20.000000,-6453.000360,1380.000319
19.573743,20.000000,-6452.000363,1380.000319
19.571183,20.000000,-6451.000366,1380.000319
19.568615,20.000000,-6450.000370,1380.000319
19.566040,20.000000,-6449.000373,1380.000319
19.563457,20.000000,-6448.000376,1380.000319
19.560866,20.000000,-6447.000380,1380.000319
19.558268,20.000000,-6446.000383,1380.000319
19.555661,20.000000,-6445.000387,1380.000319
19.553048,20.000000,-6444.000390,1380.000319
19.550426,20.000000,-6443.000393,1380.000319
19.547797,20.000000,-6442.000397,1380.000319
19.545160,20.000000,-6441.000400,1380.000319
19.542516,20.000000,-6440.000404,1380.000319
19.539864,20.000000,-6439.000407,1380.000319
19.537204,20.000000,-6438.000411,1380.000319
19.534537,20.000000,-6437.000414,1380.000319
19.531862,20.000000,-6436.000418,1380.000319
19.529179,20.000000,-6435.000422,1380.000319
19.526489,20.000000,-6434.000425,1380.000319
