x,z
-389.485863,-6636.884290
-390.412920,-6637.259209
-391.338649,-6637.637395
-392.263040,-6638.018842
-393.186079,-6638.403546
-394.107756,-6638.791502
-395.028060,-6639.182705
-395.946979,-6639.577151
-396.864501,-6639.974835
-397.780615,-6640.375751
-398.695310,-6640.779894
-399.608574,-6641.187260
-400.520397,-6641.597844
-401.430766,-6642.011640
-402.339670,-6642.428644
-403.247098,-6642.848849
-404.153039,-6643.272252
-405.057482,-6643.698846
-405.960415,-6644.128626
-406.861827,-6644.561587
-407.761707,-6644.997724
-408.660043,-6645.437031
-409.556825,-6645.879503
-410.452041,-6646.325134
-411.345681,-6646.773919
-412.237732,-6647.225851
-413.128184,-6647.680926
-414.017027,-6648.139138
-414.904248,-6648.600481
-415.789837,-6649.064950
-416.673783,-6649.532538
-417.556075,-6650.003240
-418.436702,-6650.477049
-419.315652,-6650.953961
-420.192916,-6651.433969
-421.068481,-6651.917067
-421.942338,-6652.403249
-422.814476,-6652.892509
-423.684882,-6653.384842
-424.553548,-6653.880240
-425.420461,-6654.378698
-426.285612,-6654.880209
-427.148988,-6655.384768
-428.010581,-6655.892368
-428.870378,-6656.403002
-429.728370,-6656.916665
-430.584545,-6657.433350
-431.438893,-6657.953050
-432.291403,-6658.475760
-433.142065,-6659.001472
-433.990868,-6659.530180
-434.837801,-6660.061878
-435.682855,-6660.596558
-436.526018,-6661.134215
-437.367281,-6661.674841
-438.206631,-6662.218430
-439.044060,-6662.764976
-439.879557,-6663.314470
-440.713111,-6663.866907
-441.544712,-6664.422280
-442.374350,-6664.980581
-443.202014,-6665.541804
-444.027694,-6666.105941
-444.851380,-6666.672987
-445.673061,-6667.242933
-446.492728,-6667.815773
-447.310370,-6668.391499
-448.125977,-6668.970105
-448.939538,-6669.551582
-449.751045,-6670.135925
-450.560486,-6670.723125
-451.367852,-6671.313176
-452.173132,-6671.906069
-452.976316,-6672.501799
-453.777396,-6673.100356
-454.576359,-6673.701734
-455.373198,-6674.305926
-456.167901,-6674.912923
-456.960459,-6675.522719
-457.750862,-6676.135305
-458.539100,-6676.750675
-459.325164,-6677.368820
-460.109043,-6677.989732
-460.890728,-6678.613405
-461.670209,-6679.239829
-462.447477,-6679.868999
-463.222521,-6680.500905
-463.995333,-6681.135539
-464.765902,-6681.772895
-465.534219,-6682.412963
-466.300275,-6683.055737
-467.064059,-6683.701208
-467.825563,-6684.349367
-468.584777,-6685.000208
-469.341691,-6685.653721
-470.096297,-6686.309899
-470.848584,-6686.968734
-471.598543,-6687.630217
-472.346165,-6688.294340
-473.091442,-6688.961095
-473.834362,-6689.630474
-474.574918,-6690.302468
-475.313100,-6690.977069
-476.048899,-6691.654269
-476.782305,-6692.334058
-477.513310,-6693.016430
-478.241905,-6693.701374
-478.968080,-6694.388883
-479.691826,-6695.078949
-480.413135,-6695.771562
-481.131997,-6696.466713
-481.848404,-6697.164396
-482.562346,-6697.864599
-483.273815,-6698.567316
-483.982802,-6699.272537
-484.689298,-6699.980253
-485.393294,-6700.690456
-486.094782,-6701.403137
-486.793753,-6702.118287
-487.490197,-6702.835896
-488.184108,-6703.555957
-488.875475,-6704.278460
-489.564290,-6705.003396
-490.250545,-6705.730757
-490.934231,-6706.460532
-491.615340,-6707.192714
-492.293863,-6707.927292
-492.969791,-6708.664258
-493.643117,-6709.403603
-494.313832,-6710.145318
-494.981928,-6710.889393
-495.647396,-6711.635818
-496.310228,-6712.384586
-496.970416,-6713.135686
-497.627951,-6713.889109
-498.282826,-6714.644845
-498.935032,-6715.402886
-499.584562,-6716.163222
-500.231406,-6716.925843
-500.875558,-6717.690741
-501.517008,-6718.457904
-502.155750,-6719.227325
-502.791775,-6719.998993
-503.425075,-6720.772899
-504.055642,-6721.549032
-504.683469,-6722.327385
-505.308548,-6723.107946
-505.930870,-6723.890706
-506.550429,-6724.675656
-507.167216,-6725.462785
-507.781224,-6726.252084
-508.392446,-6727.043543
-509.000873,-6727.837152
-509.606498,-6728.632902
-510.209313,-6729.430782
-510.809312,-6730.230782
-511.406486,-6731.032893
-512.000828,-6731.837105
-512.592331,-6732.643407
-513.180988,-6733.451790
-513.766790,-6734.262243
-514.349731,-6735.074756
-514.929804,-6735.889320
-515.507001,-6736.705925
-516.081316,-6737.524559
-516.652740,-6738.345213
-517.221267,-6739.167877
-517.786890,-6739.992540
-518.349602,-6740.819192
-518.909396,-6741.647824
-519.466265,-6742.478424
-520.020201,-6743.310982
-520.571199,-6744.145488
-521.119251,-6744.981932
-521.664350,-6745.820303
-522.206490,-6746.660591
-522.745663,-6747.502785
-523.281864,-6748.346874
-523.815086,-6749.192850
-524.345321,-6750.040700
-524.872563,-6750.890414
-525.396807,-6751.741982
-525.918044,-6752.595393
-526.436269,-6753.450636
-526.951476,-6754.307702
-527.463657,-6755.166579
-527.972807,-6756.027256
-528.478919,-6756.889723
-528.981987,-6757.753969
-529.482005,-6758.619984
-529.978966,-6759.487756
-530.472864,-6760.357275
-530.963693,-6761.228530
-531.451448,-6762.101511
-531.936121,-6762.976205
-532.417707,-6763.852603
-532.896201,-6764.730694
-533.371595,-6765.610466
-533.843884,-6766.491909
-534.313062,-6767.375012
-534.779124,-6768.259764
-535.242064,-6769.146153
-535.701875,-6770.034169
-536.158552,-6770.923801
-536.612090,-6771.815037
-537.062482,-6772.707868
-537.509724,-6773.602280
-537.953809,-6774.498264
-538.394733,-6775.395808
-538.832489,-6776.294901
-539.267072,-6777.195532
-539.698477,-6778.097690
-540.126699,-6779.001364
-540.551731,-6779.906541
-540.973570,-6780.813212
-541.392208,-6781.721364
-541.807643,-6782.630986
-542.219867,-6783.542068
-542.628877,-6784.454598
-543.034666,-6785.368564
-543.437231,-6786.283955
-543.836565,-6787.200760
-544.232664,-6788.118967
-544.625524,-6789.038565
-545.015138,-6789.959542
-545.401503,-6790.881887
-545.784614,-6791.805589
-546.164465,-6792.730637
-546.541052,-6793.657017
-546.914371,-6794.584720
-547.284416,-6795.513733
-547.651183,-6796.444045
-548.014668,-6797.375645
-548.374866,-6798.308520
-548.731773,-6799.242660
-549.085383,-6800.178052
-549.435694,-6801.114685
-549.782699,-6802.052547
-550.126396,-6802.991627
-550.466779,-6803.931914
-550.803846,-6804.873394
-551.137590,-6805.816057
-551.468009,-6806.759891
-551.795097,-6807.704884
-552.118852,-6808.651025
-552.439269,-6809.598301
-552.756344,-6810.546701
-553.070072,-6811.496213
-553.380452,-6812.446825
-553.687477,-6813.398526
